x,Curve1
1339.6,0.09607
1840.21,0.87297
2510.03,2.19693
3357,3.39203
4416.97,5.85526
6330.43,11.4658
8751.26,15.1868
11982.7,16.5447
15061.7,15.6681
21666.5,12.9159
29087.2,8.51301
39028.4,5.08879
49352.6,3.08355
54120,2.53773
72053.4,1.71989
107310,1.63045
136052,1.58785
184490,1.38359
235697,1.15575
330614,0.993315
464541,1.16051
596094,2.14769
833762,5.11225
870483,5.79791
1.14463e+06,8.95098
1.3116e+06,9.74076
1.59472e+06,10.4571
2.17989e+06,8.38037
2.80628e+06,6.00445
3.43158e+06,3.90054
3.92457e+06,2.99451
4.63646e+06,1.76385
5.38827e+06,1.14546
6.20718e+06,0.703444
7.27008e+06,0.402922
8.94776e+06,0.182101
9.721e+06,0.128534
